Vitreosalpa gemini-214
Merluccius productus-222
Merluccius productus-213
Merluccius productus-212
Merluccius productus-133
Merluccius productus-139
Nanomia bijuga-166
Merluccius productus-111
Leptothecata-122
Nanomia bijuga-92
Merluccius productus-2
Merluccius productus-5
Merluccius productus-7
Merluccius productus-88
Merluccius productus-113
Eusergestes similis-95
Bathochordaeus-119
Nanomia bijuga-124
Merluccius productus-1
Eusergestes similis-65
Eusergestes similis-99
Merluccius productus-60
Eusergestes similis-140
Nanomia bijuga-106
